id,ano,area,label,perm_idx,pos_correta,letra_escolhida,conteudo_escolhido_id,acertou,conf_logprob
questao_02,2022,LC,D,0,D,D,3,True,0.883804
questao_02,2022,LC,D,1,C,C,3,True,0.694157
questao_02,2022,LC,D,2,B,B,3,True,0.454691
questao_02,2022,LC,D,3,A,E,2,False,0.698951
questao_02,2022,LC,D,4,E,E,3,True,0.887317
questao_03,2022,LC,E,0,E,E,4,True,0.907727
questao_03,2022,LC,E,1,D,D,4,True,0.654125
questao_03,2022,LC,E,2,C,C,4,True,0.449774
questao_03,2022,LC,E,3,B,B,4,True,0.500733
questao_03,2022,LC,E,4,A,E,3,False,0.510066
questao_04,2022,LC,C,0,C,C,2,True,0.668483
questao_04,2022,LC,C,1,B,B,2,True,0.731675
questao_04,2022,LC,C,2,A,A,2,True,0.354608
questao_04,2022,LC,C,3,E,E,2,True,0.868725
questao_04,2022,LC,C,4,D,D,2,True,0.857084
questao_05,2022,LC,D,0,D,D,3,True,0.552126
questao_05,2022,LC,D,1,C,C,3,True,0.301933
questao_05,2022,LC,D,2,B,B,3,True,0.441309
questao_05,2022,LC,D,3,A,E,2,False,0.406562
questao_05,2022,LC,D,4,E,E,3,True,0.688645
questao_06,2022,LC,C,0,C,C,2,True,0.376946
questao_06,2022,LC,C,1,B,D,4,False,0.558882
questao_06,2022,LC,C,2,A,E,1,False,0.401603
questao_06,2022,LC,C,3,E,D,1,False,0.560292
questao_06,2022,LC,C,4,D,D,2,True,0.456297
questao_07,2022,LC,C,0,C,C,2,True,0.712303
questao_07,2022,LC,C,1,B,B,2,True,0.779468
questao_07,2022,LC,C,2,A,E,1,False,0.604586
questao_07,2022,LC,C,3,E,E,2,True,0.876321
questao_07,2022,LC,C,4,D,D,2,True,0.82768
questao_08,2022,LC,C,0,C,D,3,False,0.292902
questao_08,2022,LC,C,1,B,A,1,False,0.200409
questao_08,2022,LC,C,2,A,E,1,False,0.441799
questao_08,2022,LC,C,3,E,E,2,True,0.340802
questao_08,2022,LC,C,4,D,E,3,False,0.423297
questao_09,2022,LC,D,0,D,D,3,True,0.436288
questao_09,2022,LC,D,1,C,C,3,True,0.359048
questao_09,2022,LC,D,2,B,B,3,True,0.374608
questao_09,2022,LC,D,3,A,E,2,False,0.22985
questao_09,2022,LC,D,4,E,E,3,True,0.346016
questao_10,2022,LC,C,0,C,E,4,False,0.305177
questao_10,2022,LC,C,1,B,D,4,False,0.277432
questao_10,2022,LC,C,2,A,?,,False,0.241727
questao_10,2022,LC,C,3,E,E,2,True,0.253227
questao_10,2022,LC,C,4,D,E,3,False,0.214716
questao_11,2022,LC,C,0,C,C,2,True,0.460855
questao_11,2022,LC,C,1,B,B,2,True,0.455238
questao_11,2022,LC,C,2,A,E,1,False,0.422551
questao_11,2022,LC,C,3,E,E,2,True,0.702656
questao_11,2022,LC,C,4,D,D,2,True,0.749019
questao_12,2022,LC,E,0,E,A,0,False,0.281018
questao_12,2022,LC,E,1,D,E,0,False,0.597844
questao_12,2022,LC,E,2,C,D,0,False,0.205842
questao_12,2022,LC,E,3,B,E,2,False,0.250521
questao_12,2022,LC,E,4,A,A,4,True,0.224836
questao_13,2022,LC,B,0,B,B,1,True,0.287328
questao_13,2022,LC,B,1,A,E,0,False,0.372711
questao_13,2022,LC,B,2,E,D,0,False,0.361041
questao_13,2022,LC,B,3,D,D,1,True,0.21368
questao_13,2022,LC,B,4,C,E,3,False,0.2843
questao_14,2022,LC,A,0,A,E,4,False,0.488345
questao_14,2022,LC,A,1,E,D,4,False,0.324055
questao_14,2022,LC,A,2,D,E,1,False,0.311188
questao_14,2022,LC,A,3,C,E,2,False,0.289597
questao_14,2022,LC,A,4,B,E,3,False,0.403087
questao_15,2022,LC,C,0,C,D,3,False,0.262781
questao_15,2022,LC,C,1,B,E,0,False,0.205927
questao_15,2022,LC,C,2,A,E,1,False,0.238561
questao_15,2022,LC,C,3,E,E,2,True,0.295068
questao_15,2022,LC,C,4,D,E,3,False,0.263063
questao_17,2022,LC,B,0,B,B,1,True,0.41958
questao_17,2022,LC,B,1,A,E,0,False,0.405383
questao_17,2022,LC,B,2,E,D,0,False,0.265797
questao_17,2022,LC,B,3,D,D,1,True,0.319589
questao_17,2022,LC,B,4,C,C,1,True,0.234656
questao_19,2022,LC,A,0,A,E,4,False,0.278196
questao_19,2022,LC,A,1,E,E,0,True,0.371147
questao_19,2022,LC,A,2,D,E,1,False,0.340591
questao_19,2022,LC,A,3,C,E,2,False,0.238336
questao_19,2022,LC,A,4,B,E,3,False,0.298089
questao_21,2022,LC,E,0,E,B,1,False,0.407919
questao_21,2022,LC,E,1,D,E,0,False,0.289896
questao_21,2022,LC,E,2,C,E,1,False,0.625767
questao_21,2022,LC,E,3,B,D,1,False,0.658014
questao_21,2022,LC,E,4,A,C,1,False,0.344531
questao_22,2022,LC,E,0,E,E,4,True,0.848069
questao_22,2022,LC,E,1,D,D,4,True,0.528046
questao_22,2022,LC,E,2,C,C,4,True,0.569828
questao_22,2022,LC,E,3,B,E,2,False,0.346928
questao_22,2022,LC,E,4,A,A,4,True,0.336676
questao_23,2022,LC,C,0,C,C,2,True,0.463676
questao_23,2022,LC,C,1,B,B,2,True,0.733912
questao_23,2022,LC,C,2,A,E,1,False,0.267631
questao_23,2022,LC,C,3,E,E,2,True,0.405482
questao_23,2022,LC,C,4,D,D,2,True,0.660264
questao_24,2022,LC,A,0,A,A,0,True,0.36812
questao_24,2022,LC,A,1,E,E,0,True,0.802102
questao_24,2022,LC,A,2,D,D,0,True,0.672331
questao_24,2022,LC,A,3,C,C,0,True,0.411731
questao_24,2022,LC,A,4,B,B,0,True,0.663598
questao_25,2022,LC,B,0,B,E,4,False,0.337995
questao_25,2022,LC,B,1,A,E,0,False,0.311511
questao_25,2022,LC,B,2,E,E,1,True,0.329405
questao_25,2022,LC,B,3,D,E,2,False,0.30565
questao_25,2022,LC,B,4,C,E,3,False,0.233901
questao_26,2022,LC,A,0,A,E,4,False,0.683449
questao_26,2022,LC,A,1,E,D,4,False,0.651383
questao_26,2022,LC,A,2,D,D,0,True,0.383526
questao_26,2022,LC,A,3,C,C,0,True,0.272785
questao_26,2022,LC,A,4,B,B,0,True,0.379503
questao_29,2022,LC,E,0,E,E,4,True,0.402233
questao_29,2022,LC,E,1,D,D,4,True,0.339555
questao_29,2022,LC,E,2,C,E,1,False,0.392029
questao_29,2022,LC,E,3,B,E,2,False,0.482557
questao_29,2022,LC,E,4,A,D,2,False,0.381272
questao_31,2022,LC,E,0,E,E,4,True,0.51155
questao_31,2022,LC,E,1,D,D,4,True,0.684366
questao_31,2022,LC,E,2,C,C,4,True,0.543911
questao_31,2022,LC,E,3,B,B,4,True,0.63556
questao_31,2022,LC,E,4,A,A,4,True,0.321357
questao_32,2022,LC,B,0,B,B,1,True,0.602522
questao_32,2022,LC,B,1,A,A,1,True,0.303641
questao_32,2022,LC,B,2,E,E,1,True,0.642152
questao_32,2022,LC,B,3,D,D,1,True,0.762702
questao_32,2022,LC,B,4,C,C,1,True,0.602024
questao_33,2022,LC,E,0,E,E,4,True,0.672382
questao_33,2022,LC,E,1,D,E,0,False,0.504026
questao_33,2022,LC,E,2,C,C,4,True,0.340605
questao_33,2022,LC,E,3,B,B,4,True,0.262299
questao_33,2022,LC,E,4,A,E,3,False,0.363763
questao_34,2022,LC,E,0,E,E,4,True,0.449307
questao_34,2022,LC,E,1,D,D,4,True,0.339915
questao_34,2022,LC,E,2,C,B,3,False,0.285237
questao_34,2022,LC,E,3,B,E,2,False,0.227797
questao_34,2022,LC,E,4,A,E,3,False,0.456223
questao_35,2022,LC,D,0,D,C,2,False,0.579719
questao_35,2022,LC,D,1,C,B,2,False,0.424348
questao_35,2022,LC,D,2,B,B,3,True,0.228986
questao_35,2022,LC,D,3,A,E,2,False,0.823869
questao_35,2022,LC,D,4,E,D,2,False,0.775724
questao_36,2022,LC,C,0,C,E,4,False,0.443865
questao_36,2022,LC,C,1,B,D,4,False,0.391517
questao_36,2022,LC,C,2,A,C,4,False,0.213666
questao_36,2022,LC,C,3,E,A,3,False,0.209512
questao_36,2022,LC,C,4,D,E,3,False,0.50044
questao_37,2022,LC,A,0,A,A,0,True,0.335825
questao_37,2022,LC,A,1,E,E,0,True,0.662251
questao_37,2022,LC,A,2,D,D,0,True,0.66666
questao_37,2022,LC,A,3,C,C,0,True,0.540785
questao_37,2022,LC,A,4,B,B,0,True,0.495224
questao_38,2022,LC,D,0,D,D,3,True,0.582343
questao_38,2022,LC,D,1,C,C,3,True,0.42984
questao_38,2022,LC,D,2,B,B,3,True,0.472073
questao_38,2022,LC,D,3,A,A,3,True,0.285757
questao_38,2022,LC,D,4,E,E,3,True,0.705046
questao_39,2022,LC,B,0,B,B,1,True,0.49225
questao_39,2022,LC,B,1,A,A,1,True,0.31425
questao_39,2022,LC,B,2,E,E,1,True,0.710462
questao_39,2022,LC,B,3,D,D,1,True,0.63459
questao_39,2022,LC,B,4,C,C,1,True,0.468512
questao_40,2022,LC,D,0,D,E,4,False,0.243862
questao_40,2022,LC,D,1,C,E,0,False,0.436196
questao_40,2022,LC,D,2,B,B,3,True,0.292177
questao_40,2022,LC,D,3,A,A,3,True,0.306864
questao_40,2022,LC,D,4,E,E,3,True,0.467927
questao_41,2022,LC,B,0,B,E,4,False,0.418803
questao_41,2022,LC,B,1,A,E,0,False,0.352627
questao_41,2022,LC,B,2,E,E,1,True,0.627361
questao_41,2022,LC,B,3,D,D,1,True,0.573252
questao_41,2022,LC,B,4,C,C,1,True,0.345447
questao_42,2022,LC,D,0,D,D,3,True,0.430232
questao_42,2022,LC,D,1,C,C,3,True,0.397312
questao_42,2022,LC,D,2,B,B,3,True,0.321495
questao_42,2022,LC,D,3,A,A,3,True,0.38142
questao_42,2022,LC,D,4,E,E,3,True,0.329378
questao_45,2022,LC,A,0,A,E,4,False,0.464543
questao_45,2022,LC,A,1,E,E,0,True,0.383399
questao_45,2022,LC,A,2,D,E,1,False,0.341
questao_45,2022,LC,A,3,C,E,2,False,0.419216
questao_45,2022,LC,A,4,B,E,3,False,0.319711
questao_46,2022,CH,C,0,C,C,2,True,0.688842
questao_46,2022,CH,C,1,B,B,2,True,0.722664
questao_46,2022,CH,C,2,A,A,2,True,0.550947
questao_46,2022,CH,C,3,E,E,2,True,0.862239
questao_46,2022,CH,C,4,D,D,2,True,0.604663
questao_47,2022,CH,B,0,B,E,4,False,0.32279
questao_47,2022,CH,B,1,A,E,0,False,0.37728
questao_47,2022,CH,B,2,E,E,1,True,0.505758
questao_47,2022,CH,B,3,D,E,2,False,0.369295
questao_47,2022,CH,B,4,C,E,3,False,0.414263
questao_48,2022,CH,E,0,E,E,4,True,0.715249
questao_48,2022,CH,E,1,D,D,4,True,0.323997
questao_48,2022,CH,E,2,C,E,1,False,0.438366
questao_48,2022,CH,E,3,B,E,2,False,0.526105
questao_48,2022,CH,E,4,A,E,3,False,0.383608
questao_49,2022,CH,C,0,C,C,2,True,0.466772
questao_49,2022,CH,C,1,B,B,2,True,0.426618
questao_49,2022,CH,C,2,A,A,2,True,0.481795
questao_49,2022,CH,C,3,E,E,2,True,0.435209
questao_49,2022,CH,C,4,D,D,2,True,0.502227
questao_50,2022,CH,A,0,A,E,4,False,0.427956
questao_50,2022,CH,A,1,E,E,0,True,0.595877
questao_50,2022,CH,A,2,D,D,0,True,0.643242
questao_50,2022,CH,A,3,C,C,0,True,0.370342
questao_50,2022,CH,A,4,B,E,3,False,0.336558
questao_52,2022,CH,B,0,B,D,3,False,0.569651
questao_52,2022,CH,B,1,A,C,3,False,0.519675
questao_52,2022,CH,B,2,E,C,4,False,0.316122
questao_52,2022,CH,B,3,D,D,1,True,0.688895
questao_52,2022,CH,B,4,C,E,3,False,0.506031
questao_53,2022,CH,C,0,C,B,1,False,0.311898
questao_53,2022,CH,C,1,B,B,2,True,0.464986
questao_53,2022,CH,C,2,A,E,1,False,0.33411
questao_53,2022,CH,C,3,E,D,1,False,0.418339
questao_53,2022,CH,C,4,D,D,2,True,0.544306
questao_54,2022,CH,D,0,D,D,3,True,0.847498
questao_54,2022,CH,D,1,C,C,3,True,0.500421
questao_54,2022,CH,D,2,B,B,3,True,0.750659
questao_54,2022,CH,D,3,A,A,3,True,0.755212
questao_54,2022,CH,D,4,E,E,3,True,0.885044
questao_56,2022,CH,A,0,A,A,0,True,0.391231
questao_56,2022,CH,A,1,E,E,0,True,0.769857
questao_56,2022,CH,A,2,D,D,0,True,0.808339
questao_56,2022,CH,A,3,C,C,0,True,0.624279
questao_56,2022,CH,A,4,B,B,0,True,0.665491
questao_57,2022,CH,C,0,C,D,3,False,0.262796
questao_57,2022,CH,C,1,B,E,0,False,0.338198
questao_57,2022,CH,C,2,A,E,1,False,0.382813
questao_57,2022,CH,C,3,E,E,2,True,0.375605
