model,id,ano,area,difficulty_score,escolhido,label,acertou,confianca,conf_metodo,conf_app,n_predict
gemma-3-1b,questao_02,2022,LC,0.621498,C,D,False,0.967038,letra,0.876808,4
gemma-3-1b,questao_03,2022,LC,0.639566,B,E,False,0.828818,letra,0.556629,4
gemma-3-1b,questao_04,2022,LC,0.687937,C,C,True,0.874583,letra,0.820699,4
gemma-3-1b,questao_05,2022,LC,0.586421,D,D,True,0.987546,letra,0.860659,4
gemma-3-1b,questao_06,2022,LC,0.46223,A,C,False,0.635463,letra,0.80104,4
gemma-3-1b,questao_07,2022,LC,0.508342,C,C,True,0.995692,letra,0.892052,4
gemma-3-1b,questao_08,2022,LC,0.739879,D,C,False,0.515005,letra,0.702268,4
gemma-3-1b,questao_09,2022,LC,0.36386,D,D,True,0.878568,letra,0.930013,4
gemma-3-1b,questao_10,2022,LC,0.910974,A,C,False,0.865387,letra,0.815473,4
gemma-3-1b,questao_11,2022,LC,0.66961,A,C,False,0.665739,letra,0.784459,4
gemma-3-1b,questao_12,2022,LC,0.907324,A,E,False,0.972687,letra,0.860704,4
gemma-3-1b,questao_13,2022,LC,0.475136,A,B,False,0.998301,letra,0.933749,4
gemma-3-1b,questao_14,2022,LC,0.870277,A,A,True,0.71151,letra,0.746185,4
gemma-3-1b,questao_15,2022,LC,0.373779,B,C,False,0.919632,letra,0.824977,4
gemma-3-1b,questao_17,2022,LC,0.710347,B,B,True,0.719772,letra,0.72737,4
gemma-3-1b,questao_19,2022,LC,0.897245,B,A,False,0.873393,letra,0.790294,4
gemma-3-1b,questao_21,2022,LC,0.368188,A,E,False,0.417439,letra,0.739824,4
gemma-3-1b,questao_22,2022,LC,0.533134,C,E,False,0.998767,letra,0.953051,4
gemma-3-1b,questao_23,2022,LC,0.7611,D,C,False,0.766629,letra,0.87563,4
gemma-3-1b,questao_24,2022,LC,0.801144,A,A,True,0.800342,letra,0.811321,4
gemma-3-1b,questao_25,2022,LC,0.626895,A,B,False,0.61383,letra,0.827309,4
gemma-3-1b,questao_26,2022,LC,0.424392,A,A,True,0.994064,letra,0.826414,4
gemma-3-1b,questao_29,2022,LC,0.613168,A,E,False,0.30945,letra,0.676751,4
gemma-3-1b,questao_31,2022,LC,0.618536,C,E,False,0.898757,letra,0.880614,4
gemma-3-1b,questao_32,2022,LC,0.663725,B,B,True,0.519586,letra,0.538692,4
gemma-3-1b,questao_33,2022,LC,0.766916,B,E,False,0.976368,letra,0.818596,4
gemma-3-1b,questao_34,2022,LC,0.814787,A,E,False,0.409033,letra,0.666991,4
gemma-3-1b,questao_35,2022,LC,0.768308,C,D,False,0.993486,letra,0.83987,4
gemma-3-1b,questao_36,2022,LC,0.793802,D,C,False,0.634011,letra,0.793639,4
gemma-3-1b,questao_37,2022,LC,0.612473,A,A,True,0.992555,letra,0.845669,4
gemma-3-1b,questao_38,2022,LC,0.524455,D,D,True,0.988852,letra,0.927732,4
gemma-3-1b,questao_39,2022,LC,0.473789,E,B,False,0.461154,letra,0.758335,4
gemma-3-1b,questao_40,2022,LC,0.667183,A,D,False,0.951644,letra,0.871621,4
gemma-3-1b,questao_41,2022,LC,0.657234,D,B,False,0.977177,letra,0.908052,4
gemma-3-1b,questao_42,2022,LC,0.425853,C,D,False,0.941653,letra,0.857008,4
gemma-3-1b,questao_45,2022,LC,0.723906,A,A,True,0.993774,letra,0.93782,4
gemma-3-1b,questao_46,2022,CH,0.840348,C,C,True,0.993378,letra,0.905451,4
gemma-3-1b,questao_47,2022,CH,0.676497,A,B,False,0.883455,letra,0.854606,4
gemma-3-1b,questao_48,2022,CH,0.900776,C,E,False,0.533721,letra,0.741819,4
gemma-3-1b,questao_49,2022,CH,0.568043,C,C,True,0.985949,letra,0.766506,4
gemma-3-1b,questao_50,2022,CH,0.795901,A,A,True,0.996663,letra,0.937843,4
gemma-3-1b,questao_52,2022,CH,0.655698,D,B,False,0.503795,letra,0.706488,4
gemma-3-1b,questao_53,2022,CH,0.829219,C,C,True,0.992357,letra,0.808295,4
gemma-3-1b,questao_54,2022,CH,0.572305,A,D,False,0.99114,letra,0.929108,4
gemma-3-1b,questao_56,2022,CH,0.639877,A,A,True,0.994013,letra,0.848839,4
gemma-3-1b,questao_57,2022,CH,0.695186,A,C,False,0.696493,letra,0.765231,4
gemma-3-1b,questao_58,2022,CH,0.723668,A,D,False,0.900639,letra,0.914276,4
gemma-3-1b,questao_60,2022,CH,0.71618,B,E,False,0.821994,letra,0.630253,4
gemma-3-1b,questao_61,2022,CH,0.789135,C,D,False,0.976547,letra,0.857515,4
gemma-3-1b,questao_62,2022,CH,0.601392,A,A,True,0.963805,letra,0.872876,4
gemma-3-1b,questao_64,2022,CH,0.702995,C,A,False,0.796805,letra,0.692197,4
gemma-3-1b,questao_65,2022,CH,0.741935,D,D,True,0.983209,letra,0.675294,4
gemma-3-1b,questao_66,2022,CH,0.725153,B,B,True,0.98006,letra,0.673965,4
