metrica,valor
freq_pos_A,0.0561
freq_pos_B,0.1265
freq_pos_C,0.1250
freq_pos_D,0.2284
freq_pos_E,0.4640
pos_span_maxmin,0.4079
pos_qui_quadrado,993.7212
acc_correta_em_A,0.2442
acc_correta_em_B,0.4370
acc_correta_em_C,0.4370
acc_correta_em_D,0.6272
acc_correta_em_E,0.7532
auc_logprob_agregada,0.7528
n_auc,1945
acc_ordem_unica,0.4781
acc_debiased_voto5,0.5527
frac_consistencia_ge_3,0.6144
hist_conteudo_1de5,41
hist_conteudo_2de5,109
hist_conteudo_3de5,78
hist_conteudo_4de5,76
hist_conteudo_5de5,85
n_questoes,389
agrupamento_secao4,id+ano (corrigido)
