ano,co_item,area,texto,difficulty_score,n_palavras,media_palavras_por_sentenca,pct_palavras_longas,n_conectivos_logicos,tem_negacao,tem_formula_ou_numero,tem_imagem,area_linguagens,area_humanas,area_natureza,area_matematica
2020,7633,MT,,0.924039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020,8028,MT,,0.72982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020,10035,CN,,0.672669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020,10660,MT,,0.917399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020,11437,LC,,0.732491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,11966,LC,,0.843275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,12204,LC,,0.630623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,13085,MT,,0.898469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020,14966,CN,,0.662492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020,14993,CN,"

E  1",0.767522,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020,15001,LC,,0.862775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,15248,MT,,0.945922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020,15291,CH,,0.842909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,15897,MT,,0.839145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020,16501,LC,"D
21,00
3,50",0.90509,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2020,17055,LC,,0.809157,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,17413,LC,D	 2,0.852275,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,17936,CN,"O fóssil mais antigo encontrado nessa expedição foi
A	 1.
B 	 2.
C 	 3.
D 	 4.
E 	 5.
Questão 158        
Uma das Sete Maravilhas do Mundo Moderno é o 
Templo de Kukulkán, localizado na cidade de Chichén 
Itzá, no México. Geometricamente, esse templo pode 
ser representado por um tronco reto de pirâmide de base 
quadrada.
As quantidades de cada tipo de figura plana que formam 
esse tronco de pirâmide são
A 	 2 quadrados e 4 retângulos.
B	 1 retângulo e 4 triângulos isósceles.
C 	 2 quadrados e 4 trapézios isósceles.
D	 1 quadrado, 3 retângulos e 2 trapézios retângulos.
E 	 2 retângulos, 2 quadrados e 2 trapézios retângulos.

*020525AM25*
MT - 2° dia | Caderno 5 - AMARELO - Página 25
Questão 159        
A Figura 1 apresenta uma casa e a planta do seu 
telhado, em que as setas indicam o sentido do escoamento 
da água de chuva. Um pedreiro precisa fazer a planta do 
escoamento da água de chuva de um telhado que tem 
três caídas de água, como apresentado na Figura 2.
(a) Casa
(b) Planta do telhado
Figura 1
Figura 2
A figura que representa a planta do telhado da Figura 2 com 
o escoamento da água de chuva que o pedreiro precisa 
fazer é
A
D
B
E
C
Questão 160        
Suponha que uma equipe de corrida de automóveis 
disponha de cinco tipos de pneu (I, II, III, IV, V), em que 
o fator de eficiência climática EC (índice que fornece o 
comportamento do pneu em uso, dependendo do clima) 
é apresentado:
•	 EC do pneu I: com chuva 6, sem chuva 3;
•	 EC do pneu II: com chuva 7, sem chuva −4;
•	 EC do pneu III: com chuva −2, sem chuva 10;
•	 EC do pneu IV: com chuva 2, sem chuva 8;
•	 EC do pneu V: com chuva −6, sem chuva 7.
O coeficiente de rendimento climático (CRC) de um 
pneu é calculado como a soma dos produtos dos fatores 
de EC, com ou sem chuva, pelas correspondentes 
probabilidades de se ter tais condições climáticas: 
ele é utilizado para determinar qual pneu deve ser 
selecionado para uma dada corrida, escolhendo-se o 
pneu que apresentar o maior CRC naquele dia. No dia 
de certa corrida, a probabilidade de chover era de 70% 
e o chefe da equipe calculou o CRC de cada um dos 
cinco tipos de pneu.
O pneu escolhido foi
A 	 I.
B 	 II.
C 	 III.
D 	 IV.
E 	 V.
Questão 161        
Um pé de eucalipto em idade adequada para o corte 
rende, em média, 20 mil folhas de papel A4. A densidade 
superficial do papel A4, medida pela razão da massa de 
uma folha desse papel por sua área, é de 75 gramas por 
metro quadrado, e a área de uma folha de A4 é 0,062 
metro quadrado.
Disponível em: http://revistagalileu.globo.com. Acesso em: 28 fev. 2013 (adaptado).
Nessas condições, quantos quilogramas de papel rende, 
em média, um pé de eucalipto?
A 	 4 301
B 	 1 500
C 	 930
D 	 267
E 	 93
Questão 162        
Com o objetivo de contratar uma empresa responsável 
pelo serviço de atendimento ao público, os executivos 
de uma agência bancária realizaram uma pesquisa de 
satisfação envolvendo cinco empresas especializadas 
nesse segmento. Os procedimentos analisados (com 
pesos que medem sua importância para a agência) e 
as respectivas notas que cada empresa recebeu estão 
organizados no quadro.
Procedimento
Peso
Notas da empresa
X
Y
Z
W
T
Rapidez no 
atendimento",0.817946,573.0,17.91,0.1396,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020,18128,LC,,0.843827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020,18425,CH,Heloisa,0.863347,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,20652,LC,,0.901802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
