model,id,ano,area,difficulty_score,escolhido,label,acertou,confianca,conf_metodo,conf_app,n_predict
qwen2.5-0.5b,questao_02,2022,LC,0.621498,D,D,True,0.422159,letra,0.67945,4
qwen2.5-0.5b,questao_03,2022,LC,0.639566,E,E,True,0.591286,letra,0.746829,4
qwen2.5-0.5b,questao_04,2022,LC,0.687937,D,C,False,0.545464,letra,0.781543,4
qwen2.5-0.5b,questao_05,2022,LC,0.586421,D,D,True,0.492122,letra,0.753164,4
qwen2.5-0.5b,questao_06,2022,LC,0.46223,C,C,True,0.421065,letra,0.75606,4
qwen2.5-0.5b,questao_07,2022,LC,0.508342,D,C,False,0.249999,letra,0.623808,4
qwen2.5-0.5b,questao_08,2022,LC,0.739879,B,C,False,0.684844,letra,0.677712,4
qwen2.5-0.5b,questao_09,2022,LC,0.36386,E,D,False,0.339834,letra,0.670966,4
qwen2.5-0.5b,questao_10,2022,LC,0.910974,B,C,False,0.259395,letra,0.696396,4
qwen2.5-0.5b,questao_11,2022,LC,0.66961,C,C,True,0.758317,letra,0.860479,4
qwen2.5-0.5b,questao_12,2022,LC,0.907324,D,E,False,0.275675,letra,0.71925,4
qwen2.5-0.5b,questao_13,2022,LC,0.475136,E,B,False,0.314671,letra,0.393649,4
qwen2.5-0.5b,questao_14,2022,LC,0.870277,E,A,False,0.291621,letra,0.585695,4
qwen2.5-0.5b,questao_15,2022,LC,0.373779,D,C,False,0.333549,letra,0.626932,4
qwen2.5-0.5b,questao_17,2022,LC,0.710347,E,B,False,0.444902,letra,0.636111,4
qwen2.5-0.5b,questao_19,2022,LC,0.897245,E,A,False,0.328531,letra,0.573394,4
qwen2.5-0.5b,questao_21,2022,LC,0.368188,E,E,True,0.310163,letra,0.575861,4
qwen2.5-0.5b,questao_22,2022,LC,0.533134,E,E,True,0.428409,letra,0.767893,4
qwen2.5-0.5b,questao_23,2022,LC,0.7611,E,C,False,0.317294,letra,0.637572,4
qwen2.5-0.5b,questao_24,2022,LC,0.801144,E,A,False,0.278162,letra,0.653658,4
qwen2.5-0.5b,questao_25,2022,LC,0.626895,E,B,False,0.322957,letra,0.679929,4
qwen2.5-0.5b,questao_26,2022,LC,0.424392,E,A,False,0.274022,letra,0.675517,4
qwen2.5-0.5b,questao_29,2022,LC,0.613168,E,E,True,0.309561,letra,0.604503,4
qwen2.5-0.5b,questao_31,2022,LC,0.618536,D,E,False,0.309707,letra,0.571377,4
qwen2.5-0.5b,questao_32,2022,LC,0.663725,B,B,True,0.25893,letra,0.524558,4
qwen2.5-0.5b,questao_33,2022,LC,0.766916,E,E,True,0.516482,letra,0.709021,4
qwen2.5-0.5b,questao_34,2022,LC,0.814787,E,E,True,0.339937,letra,0.700418,4
qwen2.5-0.5b,questao_35,2022,LC,0.768308,E,D,False,0.415655,letra,0.568748,4
qwen2.5-0.5b,questao_36,2022,LC,0.793802,E,C,False,0.393643,letra,0.551611,4
qwen2.5-0.5b,questao_37,2022,LC,0.612473,E,A,False,0.347467,letra,0.623464,4
qwen2.5-0.5b,questao_38,2022,LC,0.524455,D,D,True,0.242209,letra,0.558654,4
qwen2.5-0.5b,questao_39,2022,LC,0.473789,E,B,False,0.446452,letra,0.735835,4
qwen2.5-0.5b,questao_40,2022,LC,0.667183,E,D,False,0.277415,letra,0.669816,4
qwen2.5-0.5b,questao_41,2022,LC,0.657234,E,B,False,0.472461,letra,0.685486,4
qwen2.5-0.5b,questao_42,2022,LC,0.425853,B,D,False,0.410134,letra,0.611625,4
qwen2.5-0.5b,questao_45,2022,LC,0.723906,E,A,False,0.525189,letra,0.755709,4
qwen2.5-0.5b,questao_46,2022,CH,0.840348,E,C,False,0.533889,letra,0.594482,4
qwen2.5-0.5b,questao_47,2022,CH,0.676497,D,B,False,0.262042,letra,0.687277,4
qwen2.5-0.5b,questao_48,2022,CH,0.900776,E,E,True,0.762126,letra,0.736783,4
