model,id,ano,area,difficulty_score,escolhido,label,acertou,confianca,conf_metodo,conf_app,n_predict
qwen2.5-7b,questao_02,2022,LC,0.621498,D,D,True,0.962214,letra,0.688668,4
qwen2.5-7b,questao_03,2022,LC,0.639566,E,E,True,0.952565,letra,0.680044,4
qwen2.5-7b,questao_04,2022,LC,0.687937,C,C,True,0.97615,letra,0.68554,4
qwen2.5-7b,questao_05,2022,LC,0.586421,D,D,True,0.925352,letra,0.600793,4
qwen2.5-7b,questao_06,2022,LC,0.46223,C,C,True,0.981827,letra,0.667086,4
qwen2.5-7b,questao_07,2022,LC,0.508342,C,C,True,0.974908,letra,0.691725,4
qwen2.5-7b,questao_08,2022,LC,0.739879,C,C,True,0.567161,letra,0.597539,4
qwen2.5-7b,questao_09,2022,LC,0.36386,D,D,True,0.946093,letra,0.686337,4
qwen2.5-7b,questao_10,2022,LC,0.910974,C,C,True,0.976179,letra,0.7017,4
qwen2.5-7b,questao_11,2022,LC,0.66961,C,C,True,0.952193,letra,0.652388,4
qwen2.5-7b,questao_12,2022,LC,0.907324,E,E,True,0.455046,letra,0.662979,4
qwen2.5-7b,questao_13,2022,LC,0.475136,B,B,True,0.861138,letra,0.653918,4
qwen2.5-7b,questao_14,2022,LC,0.870277,B,A,False,0.943631,letra,0.748995,4
qwen2.5-7b,questao_15,2022,LC,0.373779,C,C,True,0.795889,letra,0.614123,4
qwen2.5-7b,questao_17,2022,LC,0.710347,B,B,True,0.911508,letra,0.677011,4
qwen2.5-7b,questao_19,2022,LC,0.897245,A,A,True,0.834133,letra,0.619504,4
qwen2.5-7b,questao_21,2022,LC,0.368188,B,E,False,0.870097,letra,0.596366,4
qwen2.5-7b,questao_22,2022,LC,0.533134,E,E,True,0.920758,letra,0.730593,4
qwen2.5-7b,questao_23,2022,LC,0.7611,C,C,True,0.988317,letra,0.726289,4
qwen2.5-7b,questao_24,2022,LC,0.801144,A,A,True,0.978788,letra,0.743795,4
qwen2.5-7b,questao_25,2022,LC,0.626895,B,B,True,0.908175,letra,0.609104,4
qwen2.5-7b,questao_26,2022,LC,0.424392,A,A,True,0.967049,letra,0.659583,4
qwen2.5-7b,questao_29,2022,LC,0.613168,C,E,False,0.499322,letra,0.541357,4
qwen2.5-7b,questao_31,2022,LC,0.618536,E,E,True,0.928275,letra,0.787794,4
qwen2.5-7b,questao_32,2022,LC,0.663725,B,B,True,0.88092,letra,0.559343,4
qwen2.5-7b,questao_33,2022,LC,0.766916,E,E,True,0.948726,letra,0.734825,4
qwen2.5-7b,questao_34,2022,LC,0.814787,A,E,False,0.963555,letra,0.635617,4
qwen2.5-7b,questao_35,2022,LC,0.768308,B,D,False,0.511379,letra,0.58259,4
qwen2.5-7b,questao_36,2022,LC,0.793802,C,C,True,0.979118,letra,0.707192,4
qwen2.5-7b,questao_37,2022,LC,0.612473,A,A,True,0.780311,letra,0.611125,4
qwen2.5-7b,questao_38,2022,LC,0.524455,D,D,True,0.946672,letra,0.669624,4
qwen2.5-7b,questao_39,2022,LC,0.473789,B,B,True,0.960604,letra,0.663928,4
qwen2.5-7b,questao_40,2022,LC,0.667183,D,D,True,0.975994,letra,0.673664,4
qwen2.5-7b,questao_41,2022,LC,0.657234,B,B,True,0.878058,letra,0.624759,4
qwen2.5-7b,questao_42,2022,LC,0.425853,D,D,True,0.964845,letra,0.756411,4
qwen2.5-7b,questao_45,2022,LC,0.723906,E,A,False,0.649145,letra,0.699868,4
qwen2.5-7b,questao_46,2022,CH,0.840348,C,C,True,0.974273,letra,0.645112,4
qwen2.5-7b,questao_47,2022,CH,0.676497,A,B,False,0.954701,letra,0.680927,4
qwen2.5-7b,questao_48,2022,CH,0.900776,E,E,True,0.941891,letra,0.723455,4
qwen2.5-7b,questao_49,2022,CH,0.568043,C,C,True,0.968389,letra,0.735936,4
qwen2.5-7b,questao_50,2022,CH,0.795901,A,A,True,0.963869,letra,0.657274,4
qwen2.5-7b,questao_52,2022,CH,0.655698,B,B,True,0.942201,letra,0.671041,4
qwen2.5-7b,questao_53,2022,CH,0.829219,C,C,True,0.974115,letra,0.605237,4
qwen2.5-7b,questao_54,2022,CH,0.572305,D,D,True,0.935628,letra,0.712287,4
qwen2.5-7b,questao_56,2022,CH,0.639877,A,A,True,0.977937,letra,0.679347,4
qwen2.5-7b,questao_57,2022,CH,0.695186,C,C,True,0.942863,letra,0.747697,4
qwen2.5-7b,questao_58,2022,CH,0.723668,D,D,True,0.952101,letra,0.64128,4
qwen2.5-7b,questao_60,2022,CH,0.71618,E,E,True,0.895892,letra,0.709959,4
qwen2.5-7b,questao_61,2022,CH,0.789135,D,D,True,0.958311,letra,0.63987,4
qwen2.5-7b,questao_62,2022,CH,0.601392,A,A,True,0.952403,letra,0.614444,4
qwen2.5-7b,questao_64,2022,CH,0.702995,A,A,True,0.898174,letra,0.64339,4
qwen2.5-7b,questao_65,2022,CH,0.741935,D,D,True,0.932184,letra,0.650949,4
qwen2.5-7b,questao_66,2022,CH,0.725153,B,B,True,0.926465,letra,0.567207,4
qwen2.5-7b,questao_67,2022,CH,0.894008,D,C,False,0.495005,letra,0.594695,4
qwen2.5-7b,questao_68,2022,CH,0.689594,D,D,True,0.960738,letra,0.612717,4
qwen2.5-7b,questao_70,2022,CH,0.792879,A,A,True,0.894805,letra,0.677562,4
qwen2.5-7b,questao_71,2022,CH,0.576338,E,E,True,0.742421,letra,0.610679,4
qwen2.5-7b,questao_72,2022,CH,0.832687,C,C,True,0.957528,letra,0.752284,4
qwen2.5-7b,questao_73,2022,CH,0.9047,B,B,True,0.906953,letra,0.640814,4
qwen2.5-7b,questao_76,2022,CH,0.865012,A,A,True,0.966946,letra,0.697478,4
qwen2.5-7b,questao_77,2022,CH,0.616711,E,E,True,0.899817,letra,0.656128,4
qwen2.5-7b,questao_78,2022,CH,0.666087,C,C,True,0.961361,letra,0.673007,4
qwen2.5-7b,questao_79,2022,CH,0.679551,B,B,True,0.94452,letra,0.606818,4
qwen2.5-7b,questao_80,2022,CH,0.889448,D,E,False,0.905564,letra,0.575497,4
qwen2.5-7b,questao_81,2022,CH,0.912115,B,B,True,0.920435,letra,0.611261,4
qwen2.5-7b,questao_83,2022,CH,0.831073,E,E,True,0.937082,letra,0.703342,4
qwen2.5-7b,questao_84,2022,CH,0.767853,E,E,True,0.920296,letra,0.682626,4
