id,ano,area,escolhido,label,acertou,conf_logprob,conf_verbal,verbal_motivo,verbal_raw,conf_ptrue,ptrue_metodo
questao_02,2022,LC,C,D,False,0.967038,1.0,ok,"100 **Justificativa:** A resposta ""C""",,ausente
questao_03,2022,LC,B,E,False,0.828818,1.0,ok,"100 **Justificativa:** A resposta ""B)",,ausente
questao_04,2022,LC,C,C,True,0.874583,1.0,ok,100 Justificativa: A resposta C) é a,,ausente
questao_05,2022,LC,D,D,True,0.987546,1.0,ok,100 Justificativa: A resposta D) é a,,ausente
questao_06,2022,LC,A,C,False,0.635463,1.0,ok,"100 **Justificativa:** A resposta ""A""",,ausente
questao_07,2022,LC,C,C,True,0.995692,1.0,ok,"100 **Justificativa:** A resposta ""C""",,ausente
questao_08,2022,LC,D,C,False,0.515005,1.0,ok,100 Justificativa: A pesquisa indica que a falta,,ausente
questao_09,2022,LC,D,D,True,0.878568,1.0,ok,"100 Justificativa: A resposta ""D"" é a",,ausente
questao_10,2022,LC,A,C,False,0.865387,1.0,ok,100 Justificativa: A resposta A) é a,,ausente
questao_11,2022,LC,A,C,False,0.665739,1.0,ok,100 Justificativa: A resposta A) é a,,ausente
questao_12,2022,LC,A,E,False,0.972687,1.0,ok,100 **Justificativa:** A resposta A) é,,ausente
questao_13,2022,LC,A,B,False,0.998049,1.0,ok,100 Justificativa: A resposta A) é a,,ausente
questao_14,2022,LC,A,A,True,0.71151,1.0,ok,100 **Justificativa:** O texto descreve uma,,ausente
questao_15,2022,LC,B,C,False,0.919632,1.0,ok,100 **Justificativa:** A resposta B) “,,ausente
questao_17,2022,LC,B,B,True,0.719772,1.0,ok,100 Justificativa: A resposta B) conjuga,,ausente
questao_19,2022,LC,B,A,False,0.873393,1.0,ok,100 Justificativa: A) A resposta é irre,,ausente
questao_21,2022,LC,A,E,False,0.417439,1.0,ok,100 Justificativa: A resposta A) impessoal,,ausente
questao_22,2022,LC,C,E,False,0.998767,1.0,ok,100 Justificativa: A resposta C) é a,,ausente
questao_23,2022,LC,D,C,False,0.766629,0.95,ok,95 **Justificativa:** O texto enfatiza que as,,ausente
questao_24,2022,LC,A,A,True,0.800342,1.0,ok,100 Justificativa: A resposta A) é a,,ausente
questao_25,2022,LC,A,B,False,0.61383,0.0,ok,"0 Justificativa: A resposta ""A"" é incorreta",,ausente
questao_26,2022,LC,A,A,True,0.994064,1.0,ok,100 Justificativa: A resposta A) representa uma represent,,ausente
questao_29,2022,LC,A,E,False,0.30945,1.0,ok,100 **Justificativa:** A resposta A) c,,ausente
questao_31,2022,LC,C,E,False,0.898757,1.0,ok,100 Justificativa: A resposta C) é a,,ausente
questao_32,2022,LC,B,B,True,0.519586,1.0,ok,100 Justificativa: A resposta B) é a,,ausente
questao_33,2022,LC,B,E,False,0.976368,1.0,ok,100 Justificativa: A resposta B) está corre,0.003093,sim_dist
questao_34,2022,LC,A,E,False,0.409033,1.0,ok,"100 **Justificativa:** A resposta ""A""",,ausente
questao_35,2022,LC,C,D,False,0.993486,1.0,ok,100 **Análise da resposta:** A narrativa de Machado,,ausente
questao_36,2022,LC,D,C,False,0.634011,1.0,ok,"100 **Justificativa:** A resposta ""D)",,ausente
questao_37,2022,LC,A,A,True,0.992555,1.0,ok,100 Justificativa: A resposta A) descreve de,,ausente
questao_38,2022,LC,D,D,True,0.988852,,sem_numero,"____ **Justificativa:** A resposta D é a mais adequada,",,ausente
questao_39,2022,LC,E,B,False,0.461154,1.0,ok,100 **Justificativa:** O texto descreve a,,ausente
questao_40,2022,LC,A,D,False,0.951644,1.0,ok,100 Explicação: A) Lição de vida comunic,,ausente
questao_41,2022,LC,D,B,False,0.977177,1.0,ok,100 Justificativa: A resposta D) refuta,,ausente
questao_42,2022,LC,C,D,False,0.941653,1.0,ok,100 Justificativa: A resposta C é a mais adequada,,ausente
questao_45,2022,LC,A,A,True,0.993774,1.0,ok,100 Explicação: O trecho de Machado de Ass,,ausente
questao_46,2022,CH,C,C,True,0.993378,1.0,ok,100 Justificativa: A resposta C) é a,,ausente
questao_47,2022,CH,A,B,False,0.883455,,sem_numero,______ **Justificativa:** A) Limitação da área ocupada,,ausente
questao_48,2022,CH,C,E,False,0.533721,0.9,ok,"90 **Justificativa:** A filosofia de Basso,",,ausente
questao_49,2022,CH,C,C,True,0.985949,1.0,ok,"100 **Justificativa:** A resposta ""C""",,ausente
questao_50,2022,CH,A,A,True,0.996663,1.0,ok,"100 **Justificativa:** A resposta ""A)",,ausente
questao_52,2022,CH,D,B,False,0.503795,1.0,ok,"100 **Justificativa:** A resposta ""D)",,ausente
questao_53,2022,CH,C,C,True,0.992357,,sem_numero,"____ **Justificativa:** A resposta ""C"" está correta",,ausente
questao_54,2022,CH,A,D,False,0.99114,1.0,ok,"100 Justificativa: A resposta ""A) ab",,ausente
questao_56,2022,CH,A,A,True,0.994013,1.0,ok,"100 Justificativa: A resposta A) ""h",,ausente
questao_57,2022,CH,A,C,False,0.696493,1.0,ok,100 **Justificativa:** O trecho descreve,,ausente
questao_58,2022,CH,A,D,False,0.900639,,sem_numero,"____ **Justificativa:** A resposta ""A) diversificação da",,ausente
questao_60,2022,CH,B,E,False,0.821994,1.0,ok,100 **Justificativa:** O texto descreve a,,ausente
questao_61,2022,CH,C,D,False,0.976547,,sem_numero,"____ **Justificativa:** A resposta ""C) operários na",,ausente
questao_62,2022,CH,A,A,True,0.963805,0.0,ok,"0 Justificativa: A resposta ""A) econômicos das",,ausente
questao_64,2022,CH,C,A,False,0.796805,1.0,ok,"100 Justificativa: A resposta ""C"" é",,ausente
questao_65,2022,CH,D,D,True,0.983209,1.0,ok,100 **Justificativa:** A pesquisa do IBGE,,ausente
questao_66,2022,CH,B,B,True,0.98006,1.0,ok,"100 **Justificativa:** A resposta ""B""",,ausente
questao_67,2022,CH,A,C,False,0.765103,1.0,ok,"100 Justificativa: A resposta ""A"" está",,ausente
questao_68,2022,CH,C,D,False,0.910165,1.0,ok,"100 **Justificativa:** A resposta ""C""",,ausente
questao_70,2022,CH,A,A,True,0.437146,,sem_numero,____ **Justificativa:** A resposta A) é a justificativa,,ausente
questao_71,2022,CH,E,E,True,0.323751,1.0,ok,"100 **Justificativa:** A dublagem,",,ausente
questao_72,2022,CH,C,C,True,0.997068,0.95,ok,95 Justificativa: A resposta C) é a mais,,ausente
questao_73,2022,CH,A,B,False,0.336199,0.0,ok,"**0** **Explicação:** A resposta ""A) da",,ausente
questao_76,2022,CH,A,A,True,0.995661,1.0,ok,"100 **Justificativa:** A resposta ""Formação",,ausente
questao_77,2022,CH,D,E,False,0.449682,1.0,ok,100 Justificativa: A resposta D) é a,,ausente
questao_78,2022,CH,B,C,False,0.786804,,sem_numero,"____ **Justificativa:** A resposta ""B) Reestruturação",,ausente
questao_79,2022,CH,B,B,True,0.99463,,sem_numero,"______ **Justificativa:** A resposta B) social, estimul",,ausente
questao_80,2022,CH,D,E,False,0.971771,1.0,ok,100 Justificativa: A resposta D) consolidação,,ausente
questao_81,2022,CH,D,B,False,0.714941,,sem_numero,____ **Justificativa:** A resposta D) desmatar áreas,,ausente
questao_83,2022,CH,A,E,False,0.966772,1.0,ok,"100 **Justificativa:** A resposta ""A""",,ausente
questao_84,2022,CH,A,E,False,0.745602,1.0,ok,100 Justificativa: A) Fabricação em série,,ausente
questao_85,2022,CH,D,D,True,0.765374,1.0,ok,100 **Justificativa:** A letra da canção,,ausente
questao_86,2022,CH,A,A,True,0.900446,1.0,ok,"100 **Justificativa:** A resposta ""A)",,ausente
questao_87,2022,CH,D,D,True,0.833476,,sem_numero,"____ **Análise da resposta:** A resposta ""D) íntimo",,ausente
questao_88,2022,CH,D,E,False,0.534079,0.0,ok,"0 Justificativa: A resposta ""D) melhoria da",,ausente
questao_89,2022,CH,A,A,True,0.956855,1.0,ok,100 **Justificativa:** O texto apresenta uma visão,,ausente
questao_91,2022,CN,C,D,False,0.99606,,sem_numero,**Explicação:** A resposta C é a mais adequada. A resposta,,ausente
questao_95,2022,CN,C,D,False,0.929205,,sem_numero,"____ **Justificativa:** A resposta C é a mais adequada,",,ausente
questao_96,2022,CN,C,B,False,0.576996,0.95,ok,____ **Resposta:** 95 **Justificativa:** A,,ausente
questao_97,2022,CN,C,E,False,0.81436,,sem_numero,____ **Explicação:** O ciclo do ácido cítico é uma via,,ausente
questao_98,2022,CN,C,A,False,0.973594,,sem_numero,____ **Justificativa:** O modelo proposto é baseado em circuitos el,,ausente
questao_100,2022,CN,D,C,False,0.584189,,sem_numero,____ **Explicação:** * **Cones:** São células sens,,ausente
questao_101,2022,CN,D,A,False,0.433351,1.0,ok,100 Justificativa: A técnica de modificação da,,ausente
questao_102,2022,CN,C,E,False,0.683132,,sem_numero,____ **Explicação:** O problema descreve a substituição do Sol,,ausente
questao_103,2022,CN,A,B,False,0.842061,0.0,ok,"0 Justificativa: A resposta ""A) catalisador",,ausente
questao_106,2022,CN,A,E,False,0.963118,,sem_numero,_________ **Justificativa:** A) variação do pH do,,ausente
questao_107,2022,CN,C,B,False,0.596814,,sem_numero,____ **Análise da resposta C):** A resposta C),0.001298,sim_dist
questao_108,2022,CN,C,B,False,0.953455,1.0,ok,100 Justificativa: A ducha elétrica é um dispositivo,,ausente
questao_109,2022,CN,C,C,True,0.54211,,sem_numero,____ **Explicação:** O experimento que você descreveu é um exemplo,,ausente
questao_113,2022,CN,C,C,True,0.645612,,sem_numero,____ **Justificativa:** A resposta C é a mais provável,,ausente
questao_114,2022,CN,C,B,False,0.925869,,sem_numero,____ **Explicação:** A variação de temperatura em áreas urbanas,,ausente
questao_115,2022,CN,A,D,False,0.742258,,sem_numero,**Explicação:** O texto descreve um estudo de monitoramento de,0.00219,sim_dist
questao_116,2022,CN,C,D,False,0.986207,,sem_numero,____ **Justificativa:** A resposta C é a mais adequada porque,,ausente
questao_120,2022,CN,C,E,False,0.971676,1.0,ok,"100 **Justificativa:** A resposta ""C)",,ausente
questao_121,2022,CN,C,A,False,0.635275,,sem_numero,____ **Explicação:** A análise da situação é a seguinte:,,ausente
questao_124,2022,CN,A,A,True,0.995588,0.0,ok,**0** **Explicação:** A resposta A é uma descrição,,ausente
questao_125,2022,CN,C,B,False,0.844416,,sem_numero,____ **Explicação:** O problema descreve um experimento simples que busca,,ausente
questao_126,2022,CN,A,C,False,0.580104,,sem_numero,**Justificativa:** A análise do quadro fornecido indica que a,,ausente
questao_127,2022,CN,D,E,False,0.949344,,sem_numero,"____ **Justificativa:** A resposta D é a mais adequada,",,ausente
questao_129,2022,CN,A,B,False,0.729687,0.0,ok,**0** **Confiança:** **100**,,ausente
questao_130,2022,CN,A,E,False,0.97423,,sem_numero,**Explicação:** A resposta correta é A) correção do código,,ausente
questao_133,2022,CN,D,D,True,0.993683,,sem_numero,______ **Explicação:** A filariose e a leishmani,,ausente
questao_134,2022,CN,A,B,False,0.427815,,sem_numero,** ** ** ** ** ** ** **,,ausente
questao_135,2022,CN,D,A,False,0.312852,1.0,ok,100 Justificativa: A resposta D) é a,,ausente
questao_138,2022,MT,C,E,False,0.661658,1.0,ok,**Resposta:** 100 **Explicação:** O número,0.001215,sim_dist
questao_140,2022,MT,A,A,True,0.500048,0.01,ok,________ **Explicação:** A resposta correta é A) 1,0.001709,sim_dist
questao_141,2022,MT,C,E,False,0.431712,1.0,ok,100 **Explicação:** A cozinheira produz,,ausente
questao_142,2022,MT,A,A,True,0.722701,0.01,ok,**Justificativa:** A resposta A) 1 é uma estim,,ausente
questao_143,2022,MT,A,B,False,0.32539,1.0,ok,100 **Justificativa:** A resposta A),,ausente
questao_144,2022,MT,A,D,False,0.569658,,sem_numero,____ Resposta: ____ --- **Análise da resposta:** A,0.002873,sim_dist
questao_145,2022,MT,C,D,False,0.421707,0.9,ok,**90** **Explicação:** A questão pede para estim,,ausente
questao_147,2022,MT,A,E,False,0.464841,,sem_numero,____ **Explicação:** Vamos analisar as informações fornecidas para determinar a,,ausente
questao_149,2022,MT,C,D,False,0.94134,,sem_numero,____ **Explicação:** A questão pede para determinar o percentual máximo,,ausente
questao_150,2022,MT,C,B,False,0.946585,1.0,ok,**Explicação:** A confiança é de 100. A,,ausente
questao_151,2022,MT,C,A,False,0.727927,,sem_numero,** ** ** ** ** ** ** **,,ausente
