id,ano,area,escolhido,label,acertou,conf_logprob,conf_verbal,verbal_motivo,verbal_raw,conf_ptrue,ptrue_metodo
questao_02,2022,LC,D,D,True,0.883804,0.9,ok,90 Você está correto. A resposta é correta. A,0.058725,sim_dist
questao_03,2022,LC,E,E,True,0.907727,0.9,ok,90 A resposta correta é E) insatisfação com,0.054535,sim_dist
questao_04,2022,LC,C,C,True,0.668483,0.9,ok,90 Justificativa: A resposta correta é C) compar,0.047197,sim_dist
questao_05,2022,LC,D,D,True,0.552126,0.9,ok,"90 Você está correto. A resposta D) ""cenário",0.048931,sim_dist
questao_06,2022,LC,C,C,True,0.376946,0.85,ok,85 Justificação: A resposta correta é C) desconstr,0.051753,sim_dist
questao_07,2022,LC,C,C,True,0.722617,0.85,ok,85 Você está correto. A resposta correta é C),0.043579,sim_dist
questao_08,2022,LC,D,C,False,0.245913,0.85,ok,85 Você respondeu corretamente a uma pergunta sobre,0.063015,sim_dist
questao_09,2022,LC,D,D,True,0.436288,0.85,ok,85 Você está correto. A resposta correta é D),0.077958,sim_dist
questao_10,2022,LC,E,C,False,0.315497,0.0,ok,0 Explicação: A resposta correta é B) articulação,0.034496,sim_dist
questao_11,2022,LC,C,C,True,0.460855,0.9,ok,90 Você respondeu corretamente a uma pergunta sobre,0.058098,sim_dist
questao_12,2022,LC,A,E,False,0.280434,0.9,ok,90 Justificativa: A resposta escolhida é correta,0.042196,sim_dist
questao_13,2022,LC,B,B,True,0.287328,0.8,ok,"80 Justificativa: A resposta correta é B, pois",0.039402,sim_dist
questao_14,2022,LC,E,A,False,0.490956,0.9,ok,90 Justificativa: A resposta correta é E) inter,0.052139,sim_dist
questao_15,2022,LC,D,C,False,0.262781,0.8,ok,80 Você está correto. A resposta correta é D),0.04031,sim_dist
questao_17,2022,LC,B,B,True,0.40925,0.8,ok,80 Você está correto. A resposta correta é B),0.053713,sim_dist
questao_19,2022,LC,E,A,False,0.263857,0.85,ok,"85 Você está correto. A resposta ""E) desenvolver",0.033451,sim_dist
questao_21,2022,LC,B,E,False,0.407919,0.9,ok,90 Você respondeu corretamente. A resposta B),0.071678,sim_dist
questao_22,2022,LC,E,E,True,0.856336,0.9,ok,90 Explicação: A resposta correta é E) adequ,0.058253,sim_dist
questao_23,2022,LC,C,C,True,0.463676,0.85,ok,85 Você está correto. A resposta correta é C),0.071813,sim_dist
questao_24,2022,LC,A,A,True,0.36812,0.85,ok,85 Você está correto. A resposta correta é A),0.071863,sim_dist
questao_25,2022,LC,E,B,False,0.337995,0.9,ok,90 Explicação: A resposta correta é E) nível,0.029491,sim_dist
questao_26,2022,LC,E,A,False,0.683754,0.85,ok,85 Você está correto. A resposta correta é E),0.032154,sim_dist
questao_29,2022,LC,E,E,True,0.402233,0.8,ok,80 Você está correto. A resposta correta é E),0.055892,sim_dist
questao_31,2022,LC,E,E,True,0.51093,0.8,ok,80 Você respondeu corretamente a uma pergunta sobre,0.0652,sim_dist
questao_32,2022,LC,B,B,True,0.618879,0.8,ok,80 Justificativa: A resposta B é correta porque o,0.06461,sim_dist
questao_33,2022,LC,E,E,True,0.682821,0.9,ok,90 Você está correto. A resposta correta é E),0.02953,sim_dist
questao_34,2022,LC,E,E,True,0.449307,0.8,ok,80 Justificativa: A resposta correta é E) marca,0.056106,sim_dist
questao_35,2022,LC,C,D,False,0.58628,0.85,ok,85 Justificativa: A resposta correta é C) mist,0.044984,sim_dist
questao_36,2022,LC,E,C,False,0.443865,0.8,ok,80 Justificativa: A resposta é correta porque a forma,0.04409,sim_dist
questao_37,2022,LC,A,A,True,0.352829,0.9,ok,90 Explicação: A resposta correta é A) des,0.059461,sim_dist
questao_38,2022,LC,D,D,True,0.582343,0.8,ok,80 Justificação: A resposta correta é D) afet,0.052128,sim_dist
questao_39,2022,LC,B,B,True,0.49225,0.8,ok,80 Justificação: A resposta correta é B) atra,0.081294,sim_dist
questao_40,2022,LC,E,D,False,0.243862,0.8,ok,80 A resposta correta é A) lição de vida comunic,0.051265,sim_dist
questao_41,2022,LC,E,B,False,0.418803,0.9,ok,"90 Você está correto. A resposta ""E) condicion",0.047663,sim_dist
questao_42,2022,LC,D,D,True,0.430232,0.8,ok,"80 Você respondeu corretamente. A resposta ""D",0.056224,sim_dist
questao_45,2022,LC,E,A,False,0.464543,0.9,ok,90 A resposta correta é: A) enumeração de objetos,0.063759,sim_dist
questao_46,2022,CH,C,C,True,0.688842,0.9,ok,90 Você está correto. A resposta correta é C),0.064595,sim_dist
questao_47,2022,CH,E,B,False,0.32279,0.0,ok,00 A resposta correta é B) Êxodo da,0.057892,sim_dist
questao_48,2022,CH,E,E,True,0.715249,0.9,ok,90 Você está correto. A resposta correta é E),0.069349,sim_dist
questao_49,2022,CH,C,C,True,0.466772,0.85,ok,85 Você respondeu corretamente a uma pergunta sobre,0.069888,sim_dist
questao_50,2022,CH,E,A,False,0.427956,0.85,ok,85 Você está correto. A resposta correta é E),0.074413,sim_dist
questao_52,2022,CH,D,B,False,0.569651,0.9,ok,90 Você está correto. A resposta correta é D),0.06869,sim_dist
