id,ano,area,posicao,co_item,question,alternatives,label,IU,description,difficulty_score,has_irt,caderno_cor
questao_01,2022,LC,1,140567,"[[placeholder]] Nessa tirinha, o comportamento da mulher expressa","[""revolta com a falta de sorte."", ""gosto pela prática da leitura."", ""receio pelo futuro do casamento."", ""entusiasmo com os livros de terror."", ""rejeição ao novo tipo de residência.""]",B,True,"Descrição da imagem: Tirinha apresentada em quatro quadrinhos. O primeiro quadrinho apresenta um castelo localizado no alto de uma colina, cercado por floresta e montanhas. O sol está baixo. Duas pessoas conversam dentro dele. Uma delas diz: “Now that you are my bride, you will never leave this castle!”. A outra exclama: “Wow! Your library is amazing!”. No segundo quadrinho, apresentados de forma estilizada, estão um homem grandalhão usando chapéu e segurando um bastão, e uma mulher com os cabelos presos em rabo de cavalo e usando um vestido. Ele fala: “Beyond the castle is a high wall with no gate, and beyond that is a deep, dark forest with no path”. A mulher, que está retirando um livro de uma estante alta e repleta de livros, comenta: “I suppose it’s my library too, now we’re married”. No terceiro quadrinho, o homem ergue o dedo indicador e diz: “The forest is crawling with ravenous wolves, malignant birds and the spirits of long-dead travellers.”. A mulher passa por ele carregando três livros e exclama: “So many books! I can’t believe my luck!”. No último quadrinho, o homem, que está transformado em um ser com asas e patas e voando em direção contrária à da mulher, fala: “When the sun sets, I transform into a wild beast and soar into the night, seized by a terrible bloodlust!”. A mulher está sentada em um banco ao lado de dois livros. Ela segura um terceiro livro nas mãos à frente do rosto enquanto fala: “Ok. I’ll stay here and read. See you in the morning.”.",0.470993,True,VERDE
questao_02,2022,LC,2,140731,"A Teen’s View of Social Media Instagram is made up of all photos and videos. There is the home page that showcases the posts from people you follow, an explore tab which offers posts from accounts all over the world, and your own page, with a notification tab to show who likes and comments on your posts. It has some downsides though. It is known to make many people feel insecure or down about themselves because the platform showcases the highlights of everyone’s lives, while rarely showing the negatives. This can make one feel like their life is not going as well as others, contributing to the growing rates of anxiety or depression in many teens today. There is an underlying desire for acceptance through the number of likes or followers one has. O termo “downsides” introduz a ideia de que o Instagram é responsável por","[""oferecer recursos de fotografia."", ""divulgar problemas dos usuários."", ""estimular aceitação dos seguidores."", ""provocar ansiedade nos adolescentes."", ""aproximar pessoas ao redor do mundo.""]",D,False,,0.621498,True,VERDE
questao_03,2022,LC,3,140626,"I tend the mobile now like an injured bird We text, text, text our significant words. I re-read your first, your second, your third, Look for your small xx, feeling absurd. The codes we send arrive with a broken chord. I try to picture your hands, their image is blurred. Nothing my thumbs press will ever be heard. Nesse poema de Carol Duffy, o eu lírico evidencia um sentimento de","[""contentamento com a interação virtual."", ""zelo com o envio de mensagens."", ""preocupação com a composição de textos."", ""mágoa com o comportamento de alguém."", ""insatisfação com uma forma de comunicação.""]",E,False,,0.639566,True,VERDE
questao_04,2022,LC,4,111835,"Two hundred years ago, Jane Austen lived in a world where single men boasted vast estates; single ladies were expected to speak several languages, sing and play the piano. In both cases, it was, of course, advantageous if you looked good too. So, how much has — or hasn’t — changed? Dating apps opaquely outline the demands of today’s relationship market; users ruminate long and hard over their choice of pictures and what they write in their biographies to hook in potential lovers, and that’s just your own profile. What do you look for in a future partner’s profile — potential signifiers of a popular personality, a good job, a nice car? These apps are a poignant reminder of the often classist attitudes we still adopt, as well as the financial and aesthetic expectations we demand from potential partners. O texto aborda relações interpessoais com o objetivo de","[""problematizar o papel de gênero em casamentos modernos."", ""apontar a relevância da educação formal na escolha de parceiros."", ""comparar a expectativa de parceiros amorosos em épocas distintas."", ""discutir o uso de aplicativos para proporcionar encontros românticos."", ""valorizar a importância da aparência física na seleção de pretendentes.""]",C,False,,0.687937,True,VERDE
questao_05,2022,LC,5,111918,"As my official bio reads, I was made in Cuba, assembled in Spain, and imported to the United States — meaning my mother, seven months pregnant, and the rest of my family arrived as exiles from Cuba to Madrid, where I was born. Less than two months later, we emigrated once more and settled in New York City, then eventually in Miami, where I was raised and educated. Although technically we lived in the United States, the Cuban community was culturally insular in Miami during the 1970s, bonded together by the trauma of exile. What’s more, it seemed that practically everyone was Cuban: my teachers, my classmates, the mechanic, the bus driver. I didn’t grow up feeling different or treated as a minority. The few kids who got picked on in my grade school were the ones with freckles and funny last names like Dawson and O’Neil. Ao relatar suas vivências, o autor destaca o(a)","[""qualidade da educação formal em Miami."", ""prestígio da cultura cubana nos Estados Unidos."", ""oportunidade de qualificação profissional em Miami."", ""cenário da integração de cubanos nos Estados Unidos."", ""fortalecimento do elo familiar em comunidades estadunidenses.""]",D,False,,0.586421,True,VERDE
questao_06,2022,LC,6,141203,"A conquista da medalha de prata por Rayssa Leal, no skate street nos Jogos Olímpicos, é exemplo da representatividade feminina no esporte, avalia a âncora do jornal da rede de televisão da CNN. A apresentadora, que também anda de skate, celebrou a vitória da brasileira, que entrou para a história como a atleta mais nova a subir num pódio defendendo o Brasil. “Essa representatividade do esporte nos Jogos faz pensarmos que não temos que ficar nos encaixando em nenhum lugar. Posso gostar de passar notícia e, mesmo assim, gostar de skate, subir montanha, mergulhar, andar de bike, fazer yoga. Temos que parar de ficar enquadrando as pessoas dentro de regras. A gente vive num padrão no qual a menina ganha boneca, mas por que também não fazer um esporte de aventura? Por que o homem pode se machucar, cair de joelhos, e a menina tem que estar sempre lindinha dentro de um padrão? Acabamos limitando os talentos das pessoas”, afirmou a jornalista, sobre a prática do skate por mulheres. Odiscurso da jornalista traz questionamentos sobre a relação da conquista da skatista com a","[""conciliação do jornalismo com a prática do skate."", ""inserção das mulheres na modalidade skate street."", ""desconstrução da noção do skate como modalidade masculina."", ""vanguarda de ser a atleta mais jovem a subir no pódio olímpico."", ""conquista de medalha nos Jogos Olímpicos de Tóquio.""]",C,False,,0.46223,True,VERDE
questao_07,2022,LC,7,120124,"Pisoteamento, arrastão, empurra-empurra, agressões, vandalismo e até furto a um torcedor que estava caído no asfalto após ser atropelado nas imediações do estádio do Maracanã. As cenas de selvageria tiveram como estopim a invasão de milhares de torcedores sem ingresso, que furaram o bloqueio policial e transformaram o estádio em terra de ninguém. Um reflexo não só do quadro de insegurança que assola o Rio de Janeiro, mas também de como a violência social se embrenha pelo esporte mais popular do país. Em 2017, foram registrados 104 episódios de violência no futebol brasileiro, que resultaram em 11 mortes de torcedores. Desde 1995, quando 101 torcedores ficaram feridos e um morreu durante uma batalha campal no estádio do Pacaembu, autoridades têm focado as ações de enfrentamento à violência no futebol em grupos uniformizados, alguns proibidos de frequentar estádios. Porém, a postura meramente repressiva contra torcidas organizadas é ineficaz em uma sociedade que registra mais de 61 000 homicídios por ano. “É impossível dissociar a escalada de violência no futebol do panorama de desordem pública, social, econômica e política vivida pelo país”, de acordo com um doutor em sociologia do esporte. Nesse texto, a violência no futebol está caracterizada como um(a)","[""problema social localizado numa região do país."", ""desafio para as torcidas organizadas dos clubes."", ""reflexo da precariedade da organização social no país."", ""inadequação de espaço nos estádios para receber o público."", ""consequência da insatisfação dos clubes com a organização dos jogos.""]",C,False,,0.508342,True,VERDE
questao_08,2022,LC,8,45201,"Seis em cada dez pessoas com 15 anos ou mais não praticam esporte ou atividade física. São mais de 100 milhões de sedentários. Esses são dados do estudo Práticas de esporte e atividade física, da Pnad 2015, realizado pelo IBGE. A falta de tempo e de interesse são os principais motivos apontados para o sedentarismo. Paralelamente, 73,3 por cento das pessoas de 15 anos ou mais afirmaram que o poder público deveria investir em esporte ou atividades físicas. Observou-se uma relação direta entre escolaridade e renda na realização de esportes ou atividades físicas. Enquanto 17,3 por cento das pessoas que não tinham instrução realizavam diversas práticas corporais, esse percentual chegava a 56,7 por cento das pessoas com superior completo. Entre as pessoas que têm Práticas de Esporte e Atividade Física regulares, o percentual de praticantes ia de 31,1 por cento, na classe sem rendimento, a 65,2 por cento, na classe de cinco salários mínimos ou mais. A falta de tempo foi mais declarada pela população adulta, com destaque entre as pessoas de 25 a 39 anos. Entre os adolescentes de 15 a 17 anos, o principal motivo foi não gostarem ou não quererem. Já o principal motivo para praticar esporte, declarado por 11,2 milhões de pessoas, foi relaxar ou se divertir, seguido de melhorar a qualidade de vida ou o bem-estar. A falta de instalação esportiva acessível ou nas proximidades foram motivos pouco citados, demonstrando que a não prática estaria menos associada à infraestrutura disponível. Com base na pesquisa e em uma visão ampliada de saúde, para a prática regular de exercícios ter influência significativa na saúde dos brasileiros, é necessário o desenvolvimento de estratégias que","[""promovam a melhoria da aptidão física da população, dedicando-se mais tempo aos esportes."", ""combatam o sedentarismo presente em parcela significativa da população no território nacional."", ""facilitem a adoção da prática de exercícios, com ações relacionadas à educação e à distribuição de renda."", ""auxiliem na construção de mais instalações esportivas e espaços adequados para a prática de atividades físicas e esportes."", ""estimulem o incentivo fiscal para a iniciativa privada destinar verbas aos programas nacionais de promoção da saúde pelo esporte.""]",C,False,,0.739879,True,VERDE
questao_09,2022,LC,9,119767,"Criado há cerca de 20 anos na Califórnia, o mountainboard é um esporte de aventura que utiliza uma espécie de skate off-road para realizar manobras similares às das modalidades de snowboard, surf e do próprio skate. A atividade chegou ao Brasil em 1997 e hoje possui centenas de praticantes, um circuito nacional respeitável e mais de uma dezena de pistas espalhadas pelo país. Segundo consta na história oficial, o mountainboard foi criado por praticantes de snowboard que sentiam falta de praticar o esporte nos períodos sem neve. Para isso, eles desenvolveram um equipamento bem simples: uma prancha semelhante ao modelo utilizado na neve (menor e um pouco menos flexível), com dois eixos bem resistentes, alças para encaixar os pés e quatro pneus com câmaras de ar para regular a velocidade que pode ser alcançada em diferentes condições. Com essa configuração, o esporte se mostrou possível em diversos tipos de terreno: grama, terra, pedras, asfalto e areia. Além desses pisos, também é possível procurar pelas próprias trilhas para treinar as manobras. A história da prática do mountainboard representa uma das principais marcas das atividades de aventura, caracterizada pela","[""competitividade entre seus praticantes."", ""atividade com padrões técnicos definidos."", ""modalidade com regras predeterminadas."", ""criatividade para adaptações a novos espaços."", ""necessidade de espaços definidos para a sua realização.""]",D,False,,0.36386,True,VERDE
questao_10,2022,LC,10,140898,"Ser cronista Clarice Lispector Sei que não sou, mas tenho meditado ligeiramente no assunto. Crônica é um relato? É uma conversa? É um resumo de um estado de espírito? Não sei, pois antes de começar a escrever para o Jornal do Brasil, eu só tinha escrito romances e contos. E também sem perceber, à medida que escrevia para aqui, ia me tornando pessoal demais, correndo o risco de em breve publicar minha vida passada e presente, o que não pretendo. Outra coisa notei: basta eu saber que estou escrevendo para o jornal, isto é, para algo aberto facilmente por todo o mundo, e não para um livro, que só é aberto por quem realmente quer, para que, sem mesmo sentir, o modo de escrever se transforme. Não é que me desagrade mudar, pelo contrário. Mas queria que fossem mudanças mais profundas e interiores que não viessem a se refletir no escrever. Mas mudar só porque isso é uma coluna ou uma crônica? Ser mais leve só porque o leitor assim o quer? Divertir? Fazer passar uns minutos de leitura? E outra coisa: nos meus livros quero profundamente a comunicação profunda comigo e com o leitor. Aqui no jornal apenas falo com o leitor e agrada-me que ele fique agradado. Vou dizer a verdade: não estou contente. No texto, ao refletir sobre a atividade de cronista, a autora questiona características do gênero crônica, como","[""relação distanciada entre os interlocutores."", ""articulação de vários núcleos narrativos."", ""brevidade no tratamento da temática."", ""descrição minuciosa dos personagens."", ""público leitor exclusivo.""]",C,False,,0.910974,True,VERDE
questao_11,2022,LC,11,111961,"Projeto na Câmara de BH quer a vacinação gratuita de cães contra a leishmaniose A doença é grave e vem causando preocupação na região metropolitana da capital mineira Ela é uma doença grave, transmitida pela picada do mosquito-palha, e afeta tanto os seres humanos quanto os cachorros: a leishmaniose. Por ser um problema de saúde pública, a doença pode ganhar uma ação preventiva importante, caso um projeto de lei seja aprovado na Câmara Municipal de Belo Horizonte (CMBH). Diante do alto número de casos da doença na Grande BH, a Comissão de Saúde e Saneamento da CMBH aprovou a proposta de realização de campanhas públicas de vacinação gratuita de cães contra a leishmaniose, tema do PL 404/17, apreciado pelo colegiado em reunião ordinária, no dia 6 de dezembro. Essa notícia, além de cumprir sua função informativa, assume o papel de","[""fiscalizar as ações de saúde e saneamento da cidade."", ""defender os serviços gratuitos de atendimento à população."", ""conscientizar a população sobre grave problema de saúde pública."", ""propor campanhas para a ampliação de acesso aos serviços públicos."", ""responsabilizar os agentes públicos pela demora na tomada de decisões.""]",C,False,,0.66961,True,VERDE
questao_12,2022,LC,12,141427,"Ela era linda. Gostava de dançar, fazia teatro em São Paulo e sonhava ser atriz em Hollywood. Tinha 13 anos quando ganhou uma câmera de vídeo — e uma irmã. As duas se tornaram suas companheiras de experimentações. Adolescente, Elena vivia a criar filminhos e se empenhava em dirigir a pequena Petra nas cenas que inventava. Era exigente com a irmã. E acreditava no potencial da menina para satisfazer seus arroubos de diretora precoce. Por cinco anos, integrou algumas das melhores companhias paulistanas de teatro e participou de preleções para filmes e trabalhos na TV. Nunca foi chamada. No início de 1990, Elena tinha 20 anos quando se mudou para Nova York para cursar artes cênicas e batalhar uma chance no mercado americano. Deslocada, ansiosa, frustrada após alguns testes de elenco malsucedidos, decepcionada com a ausência de reconhecimento e vitimada por uma depressão que se agravava com a falta de perspectivas, Elena pôs fim à vida no segundo semestre. Petra tinha 7 anos. Vinte anos depois, é ela, a irmã caçula, que volta a Nova York para percorrer os últimos passos da irmã, vasculhar seus arquivos e transformar suas memórias em imagem e poesia. Elena é um filme sobre a irmã que parte e sobre a irmã que fica. É um filme sobre a busca, a perda, a saudade, mas também sobre o encontro, o legado, a memória. Um filme sobre a Elena de Petra e sobre a Petra de Elena, sobre o que ficou de uma na outra e, essencialmente, um filme sobre a delicadeza. Otexto é exemplar de um gênero discursivo que cumpre a função social de","[""narrar, por meio de imagem e poesia, cenas da vida das irmãs Petra e Elena."", ""descrever, por meio das memórias de Petra, a separação de duas irmãs."", ""sintetizar, por meio das principais cenas do filme, a história de Elena."", ""lançar, por meio da história de vida do autor, um filme autobiográfico."", ""avaliar, por meio de análise crítica, o filme em referência.""]",E,False,,0.907324,True,VERDE
