model,id,ano,area,difficulty_score,escolhido,label,acertou,confianca,conf_metodo,conf_app,n_predict
llama-3.2-1b,questao_02,2022,LC,0.621498,D,D,True,0.713584,letra,0.880964,4
llama-3.2-1b,questao_03,2022,LC,0.639566,A,E,False,0.683992,letra,0.639161,4
llama-3.2-1b,questao_04,2022,LC,0.687937,E,C,False,0.406355,letra,0.63999,4
llama-3.2-1b,questao_05,2022,LC,0.586421,D,D,True,0.650301,letra,0.692825,4
llama-3.2-1b,questao_06,2022,LC,0.46223,C,C,True,0.733684,letra,0.847236,4
llama-3.2-1b,questao_07,2022,LC,0.508342,B,C,False,0.544592,letra,0.505442,4
llama-3.2-1b,questao_08,2022,LC,0.739879,B,C,False,0.916315,letra,0.878582,4
llama-3.2-1b,questao_09,2022,LC,0.36386,D,D,True,0.576673,letra,0.632399,4
llama-3.2-1b,questao_10,2022,LC,0.910974,B,C,False,0.615729,letra,0.611955,4
llama-3.2-1b,questao_11,2022,LC,0.66961,C,C,True,0.950879,letra,0.849387,4
llama-3.2-1b,questao_12,2022,LC,0.907324,A,E,False,0.4587,letra,0.488488,4
llama-3.2-1b,questao_13,2022,LC,0.475136,B,B,True,0.769321,letra,0.779067,4
llama-3.2-1b,questao_14,2022,LC,0.870277,B,A,False,0.383241,letra,0.494323,4
llama-3.2-1b,questao_15,2022,LC,0.373779,E,C,False,0.324359,letra,0.578946,4
llama-3.2-1b,questao_17,2022,LC,0.710347,B,B,True,0.33262,letra,0.471564,4
llama-3.2-1b,questao_19,2022,LC,0.897245,B,A,False,0.640809,letra,0.657001,4
llama-3.2-1b,questao_21,2022,LC,0.368188,E,E,True,0.367722,letra,0.583189,4
llama-3.2-1b,questao_22,2022,LC,0.533134,E,E,True,0.449262,letra,0.389352,4
llama-3.2-1b,questao_23,2022,LC,0.7611,D,C,False,0.269068,letra,0.251995,4
llama-3.2-1b,questao_24,2022,LC,0.801144,A,A,True,0.441543,letra,0.404604,4
llama-3.2-1b,questao_25,2022,LC,0.626895,E,B,False,0.321624,letra,0.378973,4
llama-3.2-1b,questao_26,2022,LC,0.424392,D,A,False,0.388899,letra,0.530915,4
llama-3.2-1b,questao_29,2022,LC,0.613168,E,E,True,0.359318,letra,0.59504,4
llama-3.2-1b,questao_31,2022,LC,0.618536,B,E,False,0.411961,letra,0.464124,4
llama-3.2-1b,questao_32,2022,LC,0.663725,B,B,True,0.82226,letra,0.887017,4
llama-3.2-1b,questao_33,2022,LC,0.766916,B,E,False,0.622414,letra,0.577829,4
llama-3.2-1b,questao_34,2022,LC,0.814787,E,E,True,0.41043,letra,0.501324,4
llama-3.2-1b,questao_35,2022,LC,0.768308,C,D,False,0.491346,letra,0.709596,4
llama-3.2-1b,questao_36,2022,LC,0.793802,B,C,False,0.322738,letra,0.620064,4
llama-3.2-1b,questao_37,2022,LC,0.612473,A,A,True,0.703099,letra,0.736112,4
llama-3.2-1b,questao_38,2022,LC,0.524455,D,D,True,0.452318,letra,0.624275,4
llama-3.2-1b,questao_39,2022,LC,0.473789,B,B,True,0.901814,letra,0.818683,4
llama-3.2-1b,questao_40,2022,LC,0.667183,A,D,False,0.39214,letra,0.402777,4
llama-3.2-1b,questao_41,2022,LC,0.657234,E,B,False,0.548687,letra,0.705543,4
llama-3.2-1b,questao_42,2022,LC,0.425853,B,D,False,0.770528,letra,0.745876,4
llama-3.2-1b,questao_45,2022,LC,0.723906,E,A,False,0.511598,letra,0.576626,4
llama-3.2-1b,questao_46,2022,CH,0.840348,B,C,False,0.630204,letra,0.73351,4
llama-3.2-1b,questao_47,2022,CH,0.676497,B,B,True,0.594055,letra,0.593415,4
llama-3.2-1b,questao_48,2022,CH,0.900776,B,E,False,0.384786,letra,0.533441,4
llama-3.2-1b,questao_49,2022,CH,0.568043,C,C,True,0.958712,letra,0.73214,4
llama-3.2-1b,questao_50,2022,CH,0.795901,A,A,True,0.749473,letra,0.499365,4
llama-3.2-1b,questao_52,2022,CH,0.655698,D,B,False,0.393388,letra,0.399458,4
llama-3.2-1b,questao_53,2022,CH,0.829219,C,C,True,0.481438,letra,0.61329,4
llama-3.2-1b,questao_54,2022,CH,0.572305,D,D,True,0.734557,letra,0.578423,4
llama-3.2-1b,questao_56,2022,CH,0.639877,A,A,True,0.853911,letra,0.595,4
llama-3.2-1b,questao_57,2022,CH,0.695186,D,C,False,0.502142,letra,0.520709,4
